slice,variant,metric,Full_V6_mean,ablated_mean,delta,n_cases
non_negation,w/o IDF Specificity,nDCG@5,0.3914,0.3914,0.0,161
non_negation,w/o IDF Specificity,MAP,0.3937,0.3937,0.0,161
non_negation,w/o IDF Specificity,MRR,0.4487,0.4487,0.0,161
non_negation,w/o Margin Activation,nDCG@5,0.3914,0.3918,-0.0004,161
non_negation,w/o Margin Activation,MAP,0.3937,0.3943,-0.0007,161
non_negation,w/o Margin Activation,MRR,0.4487,0.4493,-0.0005,161
non_negation,w/o KL Penalty,nDCG@5,0.3914,0.3914,0.0,161
non_negation,w/o KL Penalty,MAP,0.3937,0.3937,0.0,161
non_negation,w/o KL Penalty,MRR,0.4487,0.4487,0.0,161
non_negation,w/o Negation Gate,nDCG@5,0.3914,0.3914,0.0,161
non_negation,w/o Negation Gate,MAP,0.3937,0.3937,0.0,161
non_negation,w/o Negation Gate,MRR,0.4487,0.4487,0.0,161
non_negation,Product Feature Mode,nDCG@5,0.3914,0.3914,0.0,161
non_negation,Product Feature Mode,MAP,0.3937,0.3937,0.0,161
non_negation,Product Feature Mode,MRR,0.4487,0.4487,0.0,161
high_severity,w/o Adaptive Alpha,nDCG@5,0.3024,0.3024,0.0,32
high_severity,w/o Adaptive Alpha,MAP,0.2916,0.2916,0.0,32
high_severity,w/o Adaptive Alpha,MRR,0.3259,0.3259,0.0,32
high_severity,w/o Bayesian Prior,nDCG@5,0.3024,0.3024,0.0,32
high_severity,w/o Bayesian Prior,MAP,0.2916,0.2916,0.0,32
high_severity,w/o Bayesian Prior,MRR,0.3259,0.3259,0.0,32
high_severity,w/o IDF Specificity,nDCG@5,0.3024,0.3024,0.0,32
high_severity,w/o IDF Specificity,MAP,0.2916,0.2916,0.0,32
high_severity,w/o IDF Specificity,MRR,0.3259,0.3259,0.0,32
high_severity,w/o Margin Activation,nDCG@5,0.3024,0.3046,-0.0022,32
high_severity,w/o Margin Activation,MAP,0.2916,0.2942,-0.0026,32
high_severity,w/o Margin Activation,MRR,0.3259,0.3285,-0.0026,32
high_severity,w/o KL Penalty,nDCG@5,0.3024,0.3024,0.0,32
high_severity,w/o KL Penalty,MAP,0.2916,0.2916,0.0,32
high_severity,w/o KL Penalty,MRR,0.3259,0.3259,0.0,32
high_severity,w/o Negation Gate,nDCG@5,0.3024,0.3024,0.0,32
high_severity,w/o Negation Gate,MAP,0.2916,0.2916,0.0,32
high_severity,w/o Negation Gate,MRR,0.3259,0.3259,0.0,32
high_severity,Product Feature Mode,nDCG@5,0.3024,0.3024,0.0,32
high_severity,Product Feature Mode,MAP,0.2916,0.2916,0.0,32
high_severity,Product Feature Mode,MRR,0.3259,0.3259,0.0,32
complex_cases,w/o Adaptive Alpha,nDCG@5,0.4055,0.4055,0.0,58
complex_cases,w/o Adaptive Alpha,MAP,0.4197,0.4197,0.0,58
complex_cases,w/o Adaptive Alpha,MRR,0.4808,0.4808,0.0,58
complex_cases,w/o Bayesian Prior,nDCG@5,0.4055,0.4055,0.0,58
complex_cases,w/o Bayesian Prior,MAP,0.4197,0.4197,0.0,58
complex_cases,w/o Bayesian Prior,MRR,0.4808,0.4808,0.0,58
complex_cases,w/o IDF Specificity,nDCG@5,0.4055,0.4055,0.0,58
complex_cases,w/o IDF Specificity,MAP,0.4197,0.4197,0.0,58
complex_cases,w/o IDF Specificity,MRR,0.4808,0.4808,0.0,58
complex_cases,w/o Margin Activation,nDCG@5,0.4055,0.4067,-0.0012,58
complex_cases,w/o Margin Activation,MAP,0.4197,0.4212,-0.0014,58
complex_cases,w/o Margin Activation,MRR,0.4808,0.4822,-0.0014,58
complex_cases,w/o KL Penalty,nDCG@5,0.4055,0.4055,0.0,58
complex_cases,w/o KL Penalty,MAP,0.4197,0.4197,0.0,58
complex_cases,w/o KL Penalty,MRR,0.4808,0.4808,0.0,58
complex_cases,w/o Negation Gate,nDCG@5,0.4055,0.4055,0.0,58
complex_cases,w/o Negation Gate,MAP,0.4197,0.4197,0.0,58
complex_cases,w/o Negation Gate,MRR,0.4808,0.4808,0.0,58
complex_cases,Product Feature Mode,nDCG@5,0.4055,0.4055,0.0,58
complex_cases,Product Feature Mode,MAP,0.4197,0.4197,0.0,58
complex_cases,Product Feature Mode,MRR,0.4808,0.4808,0.0,58
simple_cases,w/o Adaptive Alpha,nDCG@5,0.1476,0.1476,0.0,64
simple_cases,w/o Adaptive Alpha,MAP,0.1345,0.1345,0.0,64
simple_cases,w/o Adaptive Alpha,MRR,0.1611,0.1611,0.0,64
simple_cases,w/o Bayesian Prior,nDCG@5,0.1476,0.1476,0.0,64
simple_cases,w/o Bayesian Prior,MAP,0.1345,0.1345,0.0,64
simple_cases,w/o Bayesian Prior,MRR,0.1611,0.1611,0.0,64
simple_cases,w/o IDF Specificity,nDCG@5,0.1476,0.1476,0.0,64
simple_cases,w/o IDF Specificity,MAP,0.1345,0.1345,0.0,64
simple_cases,w/o IDF Specificity,MRR,0.1611,0.1611,0.0,64
simple_cases,w/o Margin Activation,nDCG@5,0.1476,0.1476,0.0,64
simple_cases,w/o Margin Activation,MAP,0.1345,0.1345,0.0,64
simple_cases,w/o Margin Activation,MRR,0.1611,0.1611,0.0,64
simple_cases,w/o KL Penalty,nDCG@5,0.1476,0.1476,0.0,64
simple_cases,w/o KL Penalty,MAP,0.1345,0.1345,0.0,64
simple_cases,w/o KL Penalty,MRR,0.1611,0.1611,0.0,64
simple_cases,w/o Negation Gate,nDCG@5,0.1476,0.1476,0.0,64
simple_cases,w/o Negation Gate,MAP,0.1345,0.1345,0.0,64
simple_cases,w/o Negation Gate,MRR,0.1611,0.1611,0.0,64
simple_cases,Product Feature Mode,nDCG@5,0.1476,0.1476,0.0,64
simple_cases,Product Feature Mode,MAP,0.1345,0.1345,0.0,64
simple_cases,Product Feature Mode,MRR,0.1611,0.1611,0.0,64
